Create Program,Get Delays,medium,14.78496,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,58.451496,scale_0,-2
Get Sun Data,Confirm Coffee Preferences,simple,73.055161,scale_0,-1
Create Program,Get Delays,medium,6.164284,scale_0,0
"Next QR, Order Item, and Tray",Stakeholders,complex,12.8823,scale_0,-2
Create Program,Get Delays,medium,6.64905,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,39.148801,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,7.605325,scale_0,-2
Confirm Coffee Preferences,Get Sun Data,simple,11.96289,scale_0,0
Create Program,Get Delays,medium,5.977233,scale_0,2
Get Sun Data,Confirm Coffee Preferences,simple,23.98699,scale_0,0
Get Sun Data,Confirm Coffee Preferences,simple,25.263874,scale_0,0
"Next QR, Order Item, and Tray",Stakeholders,complex,2.570161
Confirm Coffee Preferences,Get Sun Data,simple,14.399285,scale_0,0
Get Delays,Create Program,medium,10.692594,scale_0,0
Stakeholders,"Next QR, Order Item, and Tray",complex,5.740921,scale_0,-1
Get Sun Data,Confirm Coffee Preferences,simple,29.036773,scale_0,1
Create Program,Get Delays,medium,19.200228,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,183.079286,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,7.210486,scale_0,2
Get Sun Data,Confirm Coffee Preferences,simple,22.146763,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,30.294378,scale_0,1
Create Program,Get Delays,medium,18.12498,scale_0,2
Confirm Coffee Preferences,Get Sun Data,simple,43.894852,scale_0,1
,,,11.714682,scale_0,0
"Next QR, Order Item, and Tray",Stakeholders,complex,4.664069,scale_0,1
Get Delays,Create Program,medium,2.959173,scale_0,0
Create Program,Get Delays,medium,8.897732,scale_0,0
Confirm Coffee Preferences,Get Sun Data,simple,35.499363,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,46.223157,scale_0,0
Confirm Coffee Preferences,Get Sun Data,simple,19.896589,scale_0,-1
Get Sun Data,Confirm Coffee Preferences,simple,24.638244,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,3.903468,scale_0,-1
Stakeholders,"Next QR, Order Item, and Tray",complex,8.361977,scale_0,0
Create Program,Get Delays,medium,10.216856,scale_0,1
Get Delays,Create Program,medium,23.341573,scale_0,0
Stakeholders,"Next QR, Order Item, and Tray",complex,8.881595,scale_0,-2
Get Delays,Create Program,medium,14.335656,scale_0,1
